merchant_id,hour,transaction_count,transaction_volume,average_transaction_amount,new_device_rate,authentication_failure_rate,high_risk_ip_rate,payment_failure_rate,new_customer_rate,chargeback_rate,dispute_rate,return_rate,baseline_transaction_count,volume_deviation,risk_signal_count,merchant_hourly_anomaly
M000083,2025-01-01 00:00:00,1,1500.83,1500.83,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.58,1.72,1,0
M000230,2025-01-01 00:00:00,1,6711.45,6711.45,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.74,0.57,1,0
M000317,2025-01-01 00:00:00,1,2602.79,2602.79,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.1,0.24,1,1
M000003,2025-01-01 01:00:00,1,1788.76,1788.76,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.44,0.12,1,0
M000004,2025-01-01 03:00:00,1,18800.12,18800.12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.59,0.12,1,0
M000306,2025-01-01 03:00:00,1,932.43,932.43,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,2.0,2,1
M000004,2025-01-01 04:00:00,1,16784.92,16784.92,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000147,2025-01-01 04:00:00,1,425.77,425.77,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.76,0.36,1,0
M000174,2025-01-01 04:00:00,1,4033.84,4033.84,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.79,0.36,1,0
M000366,2025-01-01 04:00:00,1,3407.41,3407.41,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.53,0.65,1,0
M000376,2025-01-01 04:00:00,1,1951.96,1951.96,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.2,0.31,1,0
M000251,2025-01-01 05:00:00,1,5053.92,5053.92,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.03,0.49,1,0
M000290,2025-01-01 05:00:00,1,965.58,965.58,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.46,0.68,1,0
M000393,2025-01-01 05:00:00,1,1612.49,1612.49,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.7,0.18,1,0
M000001,2025-01-01 06:00:00,1,1523.12,1523.12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.89,0.15,1,0
M000152,2025-01-01 06:00:00,1,5339.22,5339.22,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.77,0.36,1,0
M000166,2025-01-01 06:00:00,1,5054.27,5054.27,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.19,0.46,1,0
M000170,2025-01-01 06:00:00,1,590.68,590.68,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.2,0.31,1,0
M000226,2025-01-01 06:00:00,1,2589.23,2589.23,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.43,0.29,1,0
M000269,2025-01-01 06:00:00,1,1972.0,1972.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.14,0.19,1,0
M000395,2025-01-01 06:00:00,1,1949.15,1949.15,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.11,0.24,1,1
M000003,2025-01-01 07:00:00,1,2988.35,2988.35,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000027,2025-01-01 07:00:00,1,892.82,892.82,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.54,1.85,1,0
M000032,2025-01-01 07:00:00,1,679.4,679.4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.28,0.44,1,1
M000037,2025-01-01 07:00:00,1,3715.7,3715.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,1,0
M000077,2025-01-01 07:00:00,1,8350.91,8350.91,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.39,0.72,1,0
M000096,2025-01-01 07:00:00,1,3135.98,3135.98,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.61,0.38,1,0
M000178,2025-01-01 07:00:00,1,588.44,588.44,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.39,0.23,1,0
M000240,2025-01-01 07:00:00,1,5062.94,5062.94,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.9,0.34,1,0
M000369,2025-01-01 07:00:00,1,1654.38,1654.38,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.95,0.25,1,0
M000392,2025-01-01 07:00:00,1,1368.92,1368.92,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.29,0.3,1,0
M000005,2025-01-01 08:00:00,1,22664.87,22664.87,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.32,0.16,1,0
M000025,2025-01-01 08:00:00,1,2628.25,2628.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.15,0.32,1,0
M000109,2025-01-01 08:00:00,1,3003.98,3003.98,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.15,0.24,1,0
M000185,2025-01-01 08:00:00,1,5359.11,5359.11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.56,0.28,1,0
M000196,2025-01-01 08:00:00,1,5363.74,5363.74,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.43,0.29,1,0
M000219,2025-01-01 08:00:00,1,9809.59,9809.59,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.46,0.68,2,0
M000222,2025-01-01 08:00:00,1,486.64,486.64,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.85,0.26,1,0
M000248,2025-01-01 08:00:00,1,1151.04,1151.04,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,2.0,1,0
M000255,2025-01-01 08:00:00,1,798.07,798.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.89,0.26,1,0
M000352,2025-01-01 08:00:00,1,2961.93,2961.93,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.52,0.66,1,0
M000398,2025-01-01 08:00:00,2,5192.89,2596.44,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,5.5,0.36,2,0
M000005,2025-01-01 09:00:00,1,5874.17,5874.17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000021,2025-01-01 09:00:00,1,1349.84,1349.84,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.64,0.22,1,0
M000050,2025-01-01 09:00:00,1,3073.53,3073.53,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.72,0.37,1,0
M000096,2025-01-01 09:00:00,1,2964.54,2964.54,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0
M000104,2025-01-01 09:00:00,1,652.43,652.43,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.75,0.36,1,0
M000161,2025-01-01 09:00:00,1,8732.54,8732.54,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.56,0.39,1,0
M000170,2025-01-01 09:00:00,1,1037.34,1037.34,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000187,2025-01-01 09:00:00,1,6511.42,6511.42,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.68,0.6,1,0
M000189,2025-01-01 09:00:00,1,287.75,287.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.31,0.23,1,0
M000215,2025-01-01 09:00:00,1,15571.61,15571.61,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.17,0.85,1,1
M000233,2025-01-01 09:00:00,1,268.87,268.87,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.54,0.28,2,0
M000244,2025-01-01 09:00:00,1,632.51,632.51,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.81,0.17,1,0
M000297,2025-01-01 09:00:00,1,15222.77,15222.77,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.62,1.61,1,0
M000331,2025-01-01 09:00:00,1,2895.25,2895.25,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.86,0.21,2,1
M000363,2025-01-01 09:00:00,1,744.51,744.51,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.97,0.17,1,0
M000001,2025-01-01 10:00:00,1,1728.84,1728.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0
M000002,2025-01-01 10:00:00,1,12829.82,12829.82,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.2,0.1,1,0
M000009,2025-01-01 10:00:00,2,15284.4,7642.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.08,0.17,2,1
M000015,2025-01-01 10:00:00,1,1402.8,1402.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.92,0.34,1,0
M000031,2025-01-01 10:00:00,1,270.06,270.06,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.57,0.22,2,1
M000062,2025-01-01 10:00:00,1,2183.04,2183.04,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.99,0.33,1,0
M000077,2025-01-01 10:00:00,1,7252.14,7252.14,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000107,2025-01-01 10:00:00,1,1351.51,1351.51,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.69,0.59,1,1
M000126,2025-01-01 10:00:00,1,1309.77,1309.77,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.79,0.36,1,0
M000203,2025-01-01 10:00:00,1,1808.51,1808.51,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.81,1.23,2,0
M000264,2025-01-01 10:00:00,1,723.68,723.68,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.68,0.27,1,0
M000277,2025-01-01 10:00:00,1,10410.09,10410.09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.9,0.53,1,0
M000280,2025-01-01 10:00:00,1,5235.81,5235.81,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.43,0.7,1,0
M000283,2025-01-01 10:00:00,1,5239.22,5239.22,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.86,0.17,1,0
M000341,2025-01-01 10:00:00,1,791.67,791.67,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.55,0.22,1,0
M000345,2025-01-01 10:00:00,1,1449.23,1449.23,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.47,0.29,1,0
M000387,2025-01-01 10:00:00,1,1046.87,1046.87,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.83,0.55,1,0
M000001,2025-01-01 11:00:00,1,506.57,506.57,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000058,2025-01-01 11:00:00,1,2576.57,2576.57,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.23,0.31,1,1
M000072,2025-01-01 11:00:00,1,1112.93,1112.93,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.68,0.6,1,0
M000106,2025-01-01 11:00:00,1,3826.41,3826.41,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.48,0.29,1,0
M000128,2025-01-01 11:00:00,1,21747.77,21747.77,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.99,0.5,1,0
M000170,2025-01-01 11:00:00,1,737.09,737.09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000185,2025-01-01 11:00:00,1,5652.81,5652.81,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0
M000211,2025-01-01 11:00:00,1,287.22,287.22,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.2,1,0
M000258,2025-01-01 11:00:00,1,7609.2,7609.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.17,0.85,1,0
M000303,2025-01-01 11:00:00,1,230.39,230.39,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.78,0.26,1,1
M000304,2025-01-01 11:00:00,1,24100.21,24100.21,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.81,0.55,1,0
M000350,2025-01-01 11:00:00,1,4109.03,4109.03,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.05,0.49,1,0
M000397,2025-01-01 11:00:00,1,2768.8,2768.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.69,0.37,1,0
M000004,2025-01-01 12:00:00,1,8697.01,8697.01,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2,1
M000005,2025-01-01 12:00:00,1,17390.26,17390.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0
M000060,2025-01-01 12:00:00,1,2187.5,2187.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.91,0.52,3,0
M000109,2025-01-01 12:00:00,1,1981.01,1981.01,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000136,2025-01-01 12:00:00,1,2313.63,2313.63,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.71,0.37,1,0
M000138,2025-01-01 12:00:00,1,20776.35,20776.35,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.65,1.54,2,1
