return_id,transaction_id,merchant_id,customer_id,return_requested_timestamp,return_reason,days_after_delivery,item_condition,return_approved,refund_issued,refund_delay_days,return_outcome
RET0000001,TXN0000011,M000376,C000045,2025-01-09 04:55:55,damaged_item,8,opened,1,1,2.0,full_refund
RET0000002,TXN0000025,M000037,C000016,2025-01-12 07:34:53,damaged_item,11,missing_tags,0,0,,rejected
RET0000003,TXN0000029,M000369,C000001,2025-01-12 07:39:35,size_issue,11,damaged,0,0,,rejected
RET0000004,TXN0000038,M000398,C000011,2025-01-07 08:23:52,size_issue,6,unopened,1,1,3.0,full_refund
RET0000005,TXN0000040,M000025,C000033,2025-01-06 08:35:01,late_delivery,5,damaged,0,0,,rejected
RET0000006,TXN0000046,M000096,C000027,2025-01-05 09:09:26,quality_issue,4,damaged,0,0,,rejected
RET0000007,TXN0000053,M000161,C000026,2025-01-12 09:37:14,size_issue,11,missing_tags,0,0,,rejected
RET0000008,TXN0000055,M000363,C000088,2025-01-03 09:40:09,size_issue,2,damaged,0,0,,rejected
RET0000009,TXN0000059,M000283,C000018,2025-01-07 10:03:08,size_issue,6,damaged,0,0,,rejected
RET0000010,TXN0000067,M000062,C000039,2025-01-12 10:25:23,quality_issue,11,missing_tags,0,0,,rejected
RET0000011,TXN0000074,M000387,C000007,2025-01-07 10:56:42,size_issue,6,unopened,1,1,2.0,full_refund
RET0000012,TXN0000080,M000185,C000003,2025-01-04 11:20:09,damaged_item,3,unopened,0,0,,rejected
RET0000013,TXN0000100,M000324,C000009,2025-01-13 13:14:28,wrong_item,12,missing_tags,0,0,,rejected
RET0000014,TXN0000113,M000131,C000016,2025-01-12 14:24:01,late_delivery,11,damaged,0,0,,rejected
RET0000015,TXN0000132,M000343,C000034,2025-01-09 15:53:27,wrong_item,8,missing_tags,0,0,,rejected
RET0000016,TXN0000138,M000112,C000080,2025-01-08 16:10:57,size_issue,7,opened,1,1,1.0,full_refund
RET0000017,TXN0000142,M000282,C000012,2025-01-14 16:31:51,wrong_item,13,damaged,0,0,,rejected
RET0000018,TXN0000148,M000020,C000011,2025-01-13 17:02:28,size_issue,12,missing_tags,0,0,,rejected
RET0000019,TXN0000161,M000143,C000060,2025-01-09 17:49:07,late_delivery,8,damaged,0,0,,rejected
RET0000020,TXN0000179,M000380,C000013,2025-01-07 19:15:11,size_issue,6,unopened,0,0,,rejected
RET0000021,TXN0000185,M000237,C000031,2025-01-10 19:31:39,late_delivery,9,missing_tags,0,0,,rejected
RET0000022,TXN0000187,M000369,C000030,2025-01-02 19:46:01,quality_issue,1,damaged,0,0,,rejected
RET0000023,TXN0000188,M000134,C000038,2025-01-02 19:48:29,size_issue,1,unopened,1,1,1.0,full_refund
RET0000024,TXN0000197,M000330,C000037,2025-01-11 20:08:10,damaged_item,10,unopened,1,1,2.0,full_refund
RET0000025,TXN0000218,M000235,C000007,2025-01-05 22:13:44,damaged_item,4,unopened,1,1,5.0,full_refund
RET0000026,TXN0000219,M000060,C000021,2025-01-06 22:14:18,size_issue,5,unopened,1,1,4.0,full_refund
RET0000027,TXN0000223,M000185,C000003,2025-01-09 22:21:43,changed_mind,8,opened,1,1,6.0,full_refund
RET0000028,TXN0000227,M000226,C000075,2025-01-11 23:10:10,size_issue,10,unopened,1,1,3.0,full_refund
RET0000029,TXN0000229,M000252,C000069,2025-01-12 23:13:20,quality_issue,11,opened,1,1,1.0,full_refund
RET0000030,TXN0000233,M000392,C000050,2025-01-03 23:27:46,other,2,missing_tags,0,0,,rejected
RET0000031,TXN0000238,M000369,C000021,2025-01-10 00:05:15,size_issue,8,unopened,0,0,,rejected
RET0000032,TXN0000247,M000210,C000002,2025-01-08 01:28:00,size_issue,6,unopened,1,1,3.0,full_refund
RET0000033,TXN0000257,M000203,C000003,2025-01-11 05:55:23,size_issue,9,unopened,1,1,2.0,full_refund
RET0000034,TXN0000260,M000308,C000007,2025-01-13 06:06:13,changed_mind,11,unopened,1,1,6.0,full_refund
RET0000035,TXN0000264,M000342,C000048,2025-01-09 07:22:40,quality_issue,7,opened,0,0,,rejected
RET0000036,TXN0000265,M000393,C000039,2025-01-10 07:23:23,damaged_item,8,damaged,0,0,,rejected
RET0000037,TXN0000279,M000061,C000047,2025-01-14 08:18:50,changed_mind,12,missing_tags,0,0,,rejected
RET0000038,TXN0000283,M000190,C000031,2025-01-04 08:30:25,not_as_described,2,missing_tags,0,0,,rejected
RET0000039,TXN0000284,M000032,C000038,2025-01-14 08:31:01,late_delivery,12,opened,1,1,2.0,full_refund
RET0000040,TXN0000293,M000050,C000040,2025-01-11 09:12:11,changed_mind,9,unopened,1,1,1.0,full_refund
RET0000041,TXN0000299,M000109,C000050,2025-01-12 09:30:25,wrong_item,10,damaged,0,0,,rejected
RET0000042,TXN0000301,M000310,C000018,2025-01-14 09:38:13,wrong_item,12,opened,1,1,6.0,full_refund
RET0000043,TXN0000302,M000134,C000002,2025-01-03 09:43:49,late_delivery,1,damaged,0,0,,rejected
RET0000044,TXN0000303,M000217,C000033,2025-01-06 09:52:38,size_issue,4,damaged,0,0,,rejected
