dispute_id,transaction_id,merchant_id,customer_id,network,reason_code,reason_description,dispute_created_at,dispute_amount,contest_fee,operational_review_cost,respond_by,days_to_deadline,merchant_action,dispute_outcome,resolution_date
DSP000001,TXN0000139,M000001,,Mastercard,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-11-01,849,613,255,2025-11-09,8,contested,lost,2025-11-25
DSP000002,TXN0000390,M000001,,Mastercard,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2026-01-21,1299,509,202,2026-01-30,9,contested,lost,2026-02-05
DSP000003,TXN0000101,M000001,CUS0000127,Mastercard,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2025-11-03,945,501,167,2025-11-23,20,contested,lost,2025-12-12
DSP000004,TXN0003363,M000002,CUS0001594,Mastercard,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2025-06-26,1795,447,240,2025-07-16,20,contested,won,2025-08-04
DSP000005,TXN0001099,M000002,,Visa,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-08-02,999,0,0,2025-08-20,18,accepted,accepted_refunded,
DSP000006,TXN0002848,M000002,CUS0001456,Mastercard,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2025-12-14,1595,458,206,2025-12-21,7,contested,lost,2026-01-24
DSP000007,TXN0003893,M000002,CUS0000480,Visa,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-11-13,5699,465,213,2025-11-24,11,contested,lost,2025-12-20
DSP000008,TXN0002334,M000002,CUS0001355,Mastercard,DUPLICATE_TRANSACTION,Duplicate Transaction,2025-06-13,1049,0,0,2025-06-22,9,accepted,accepted_refunded,
DSP000009,TXN0004366,M000002,CUS0000724,RuPay,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2026-01-30,1299,660,276,2026-02-13,14,contested,won,2026-03-01
DSP000010,TXN0004038,M000002,,RuPay,DUPLICATE_TRANSACTION,Duplicate Transaction,2025-11-20,429,499,186,2025-11-29,9,contested,won,2025-12-15
DSP000011,TXN0004164,M000002,,Visa,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-12-17,1549,671,189,2025-12-27,10,contested,lost,2026-01-17
DSP000012,TXN0002257,M000002,CUS0000309,Visa,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2025-12-25,1549,534,251,2026-01-10,16,contested,won,2026-02-04
DSP000013,TXN0004074,M000002,CUS0000783,Mastercard,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-05-16,3349,0,0,2025-06-04,19,accepted,accepted_refunded,
DSP000014,TXN0001007,M000002,CUS0001512,Visa,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2025-11-10,945,484,282,2025-11-28,18,contested,won,2025-12-19
