evidence_id,dispute_id,transaction_id,evidence_type,applicability_status,available,required,relevant,quality_score,source_system,evidence_timestamp
EVD0000001,DSP000001,TXN0001637,order_confirmation,APPLICABLE,1,1,1,0.8612,shipping,2025-10-29
EVD0000002,DSP000001,TXN0001637,invoice,APPLICABLE,1,1,1,0.8746,crm,2025-11-03
EVD0000003,DSP000001,TXN0001637,customer_communication,APPLICABLE,1,1,1,0.8558,support,2025-11-03
EVD0000004,DSP000001,TXN0001637,shipping_label,UNAVAILABLE,0,0,0,0.0,payment_gateway,2025-10-19
EVD0000005,DSP000001,TXN0001637,tracking_number,UNAVAILABLE,0,0,0,0.0,crm,2025-11-07
EVD0000006,DSP000001,TXN0001637,delivery_confirmation,APPLICABLE,1,1,1,0.8678,shipping,2025-10-22
EVD0000007,DSP000002,TXN0000921,order_confirmation,APPLICABLE,1,1,1,0.8206,support,2025-12-15
EVD0000008,DSP000002,TXN0000921,invoice,UNAVAILABLE,0,0,0,0.0,crm,2025-12-09
EVD0000009,DSP000002,TXN0000921,customer_communication,APPLICABLE,1,1,1,0.9334,crm,2025-12-12
EVD0000010,DSP000002,TXN0000921,shipping_label,APPLICABLE,1,0,1,0.55,payment_gateway,2025-12-04
EVD0000011,DSP000002,TXN0000921,tracking_number,UNAVAILABLE,0,0,0,0.0,payment_gateway,2025-12-02
EVD0000012,DSP000002,TXN0000921,delivery_confirmation,APPLICABLE,1,1,1,0.9388,payment_gateway,2025-12-14
EVD0000013,DSP000003,TXN0000960,order_confirmation,APPLICABLE,1,1,1,0.8461,payment_gateway,2024-12-09
EVD0000014,DSP000003,TXN0000960,invoice,UNAVAILABLE,0,0,0,0.0,erp,2025-01-06
EVD0000015,DSP000003,TXN0000960,customer_communication,UNAVAILABLE,0,0,0,0.0,shipping,2024-12-31
EVD0000016,DSP000003,TXN0000960,shipping_label,APPLICABLE,1,1,1,0.8305,erp,2024-12-21
EVD0000017,DSP000003,TXN0000960,tracking_number,APPLICABLE,1,1,1,0.8797,shipping,2025-01-04
EVD0000018,DSP000003,TXN0000960,delivery_confirmation,APPLICABLE,1,1,1,0.9464,payment_gateway,2025-01-05
EVD0000019,DSP000004,TXN0001027,order_confirmation,APPLICABLE,1,1,1,0.8995,payment_gateway,2025-09-26
EVD0000020,DSP000004,TXN0001027,invoice,UNAVAILABLE,0,0,0,0.0,crm,2025-09-08
EVD0000021,DSP000004,TXN0001027,customer_communication,APPLICABLE,1,1,1,0.9093,shipping,2025-09-12
EVD0000022,DSP000004,TXN0001027,shipping_label,UNAVAILABLE,0,0,0,0.0,erp,2025-09-07
EVD0000023,DSP000004,TXN0001027,tracking_number,APPLICABLE,1,0,0,0.5707,payment_gateway,2025-09-17
EVD0000024,DSP000004,TXN0001027,delivery_confirmation,APPLICABLE,1,1,1,0.9227,erp,2025-09-18
EVD0000025,DSP000005,TXN0001574,order_confirmation,UNAVAILABLE,0,1,1,0.0,erp,2025-01-30
EVD0000026,DSP000005,TXN0001574,invoice,UNAVAILABLE,0,0,0,0.0,shipping,2025-01-26
EVD0000027,DSP000005,TXN0001574,customer_communication,UNAVAILABLE,0,1,1,0.0,crm,2025-02-02
EVD0000028,DSP000005,TXN0001574,shipping_label,APPLICABLE,1,0,0,0.55,crm,2025-01-30
EVD0000029,DSP000005,TXN0001574,tracking_number,UNAVAILABLE,0,0,0,0.0,support,2025-01-20
EVD0000030,DSP000005,TXN0001574,delivery_confirmation,APPLICABLE,1,1,1,0.668,erp,2025-02-05
EVD0000031,DSP000006,TXN0001374,order_confirmation,UNAVAILABLE,0,1,1,0.0,payment_gateway,2025-04-05
EVD0000032,DSP000006,TXN0001374,invoice,UNAVAILABLE,0,0,0,0.0,support,2025-04-06
EVD0000033,DSP000006,TXN0001374,customer_communication,UNAVAILABLE,0,1,1,0.0,crm,2025-03-24
EVD0000034,DSP000006,TXN0001374,shipping_label,APPLICABLE,1,0,0,0.594,payment_gateway,2025-03-28
EVD0000035,DSP000006,TXN0001374,tracking_number,UNAVAILABLE,0,0,0,0.0,payment_gateway,2025-04-07
EVD0000036,DSP000006,TXN0001374,delivery_confirmation,UNAVAILABLE,0,1,1,0.0,payment_gateway,2025-03-23
EVD0000037,DSP000007,TXN0001350,order_confirmation,UNAVAILABLE,0,1,1,0.0,shipping,2026-02-05
EVD0000038,DSP000007,TXN0001350,invoice,UNAVAILABLE,0,0,0,0.0,erp,2026-02-10
EVD0000039,DSP000007,TXN0001350,customer_communication,APPLICABLE,1,1,1,0.5858,crm,2026-03-03
