merchant_id,merchant_name,archetype,industry,city,business_size,fulfillment_type,subscription_supported,documentation_maturity,price_points,merchant_age_months,refund_policy_documented,fulfillment_tracking_available,annual_transactions
M000001,Loops & Knots by Ananya,social_seller,social_seller,Kolkata,small,physical_delivery,0,0.2,[],56,0,1,1800
M000002,SoleCraft,d2c_brand,d2c_brand,Delhi,medium,physical_delivery,0,0.8394736058118728,[],16,0,1,3800
M000003,Gyan IAS Study Circle,subscription_edtech,subscription_edtech,Delhi,medium,digital_service,1,0.7322279403980707,"[499, 2999, 9999, 14999]",112,1,0,3800
M000004,CodePilot,saas_tools,saas_tools,Pune,small,digital_service,1,0.944552322654166,"[399, 799, 1499, 9999]",101,1,0,860
M000005,FitForge,fitness_membership,fitness_membership,Hyderabad,small,membership_service,1,0.6016175480170748,"[999, 1499, 3999, 14999]",28,1,0,1600
M000006,TripWell,travel_booking,travel_booking,Chennai,medium,booking_service,0,0.5287607531574458,[],23,0,0,3800
M000007,SwitchCart,marketplace_retailer,marketplace_retailer,Bangalore,large,physical_delivery,0,0.9689524311815635,[],117,1,1,8500
M000008,Merchant_8,social_seller,social_seller,Mumbai,micro,physical_delivery,0,0.3140919412069738,[],59,1,1,89
M000009,Merchant_9,social_seller,social_seller,Kolkata,micro,physical_delivery,0,0.26598430106709436,[],60,1,1,89
M000010,Merchant_10,social_seller,social_seller,Pune,micro,physical_delivery,0,0.3739627989365021,[],56,0,1,89
M000011,Merchant_11,social_seller,social_seller,Mumbai,micro,physical_delivery,0,0.38005302040044986,[],41,0,1,89
M000012,Merchant_12,social_seller,social_seller,Hyderabad,micro,physical_delivery,0,0.40095287149936043,[],50,1,1,89
M000013,Merchant_13,social_seller,social_seller,Kolkata,micro,physical_delivery,0,0.37649910079499516,[],22,1,1,89
M000014,Merchant_14,social_seller,social_seller,Hyderabad,micro,physical_delivery,0,0.24147245395020112,[],96,0,1,89
M000015,Merchant_15,social_seller,social_seller,Delhi,micro,physical_delivery,0,0.381033075725267,[],95,0,1,89
M000016,Merchant_16,social_seller,social_seller,Mumbai,micro,physical_delivery,0,0.35374823919057874,[],22,1,1,89
M000017,Merchant_17,social_seller,social_seller,Kolkata,micro,physical_delivery,0,0.37368059235809437,[],60,0,1,90
M000018,Merchant_18,social_seller,social_seller,Kolkata,micro,physical_delivery,0,0.39299977148320514,[],78,0,1,90
M000019,Merchant_19,social_seller,social_seller,Hyderabad,micro,physical_delivery,0,0.3518414321490827,[],40,1,1,90
M000020,Merchant_20,social_seller,social_seller,Pune,micro,physical_delivery,0,0.3273434778464725,[],30,0,1,89
M000021,Merchant_21,social_seller,social_seller,Mumbai,micro,physical_delivery,0,0.41068061465363326,[],32,1,1,89
M000022,Merchant_22,social_seller,social_seller,Pune,micro,physical_delivery,0,0.2962767784043993,[],39,0,1,90
M000023,Merchant_23,social_seller,social_seller,Chennai,micro,physical_delivery,0,0.3514064304682557,[],96,0,1,89
M000024,Merchant_24,social_seller,social_seller,Bangalore,micro,physical_delivery,0,0.3212773722880141,[],99,1,1,89
M000025,Merchant_25,social_seller,social_seller,Mumbai,micro,physical_delivery,0,0.24454241462677212,[],16,0,1,89
M000026,Merchant_26,social_seller,social_seller,Hyderabad,micro,physical_delivery,0,0.33237544605027747,[],24,0,1,90
M000027,Merchant_27,social_seller,social_seller,Chennai,micro,physical_delivery,0,0.2704624205426337,[],86,0,1,90
M000028,Merchant_28,social_seller,social_seller,Delhi,micro,physical_delivery,0,0.3162042452192965,[],40,0,1,89
M000029,Merchant_29,social_seller,social_seller,Pune,micro,physical_delivery,0,0.3123625221106781,[],16,1,1,89
M000030,Merchant_30,social_seller,social_seller,Bangalore,micro,physical_delivery,0,0.43237953290990294,[],110,0,1,90
M000031,Merchant_31,social_seller,social_seller,Hyderabad,micro,physical_delivery,0,0.29317399229190394,[],117,0,1,89
M000032,Merchant_32,social_seller,social_seller,Hyderabad,micro,physical_delivery,0,0.38337803783179913,[],57,1,1,89
M000033,Merchant_33,social_seller,social_seller,Chennai,micro,physical_delivery,0,0.2592781924306999,[],109,0,1,90
M000034,Merchant_34,social_seller,social_seller,Hyderabad,micro,physical_delivery,0,0.2804726729590461,[],41,0,1,91
M000035,Merchant_35,social_seller,social_seller,Chennai,micro,physical_delivery,0,0.27535455658784636,[],104,0,1,89
M000036,Merchant_36,social_seller,social_seller,Kolkata,micro,physical_delivery,0,0.38389259119018737,[],55,0,1,89
M000037,Merchant_37,social_seller,social_seller,Mumbai,micro,physical_delivery,0,0.35681959378254713,[],80,1,1,90
M000038,Merchant_38,social_seller,social_seller,Hyderabad,micro,physical_delivery,0,0.32316148043412196,[],10,0,1,89
M000039,Merchant_39,social_seller,social_seller,Kolkata,micro,physical_delivery,0,0.3059722424665571,[],22,1,1,90
M000040,Merchant_40,social_seller,social_seller,Hyderabad,micro,physical_delivery,0,0.35752891443554247,[],25,0,1,90
M000041,Merchant_41,social_seller,social_seller,Chennai,micro,physical_delivery,0,0.356212227940079,[],45,0,1,90
M000042,Merchant_42,social_seller,social_seller,Delhi,micro,physical_delivery,0,0.24456077420593952,[],116,0,1,89
M000043,Merchant_43,social_seller,social_seller,Mumbai,micro,physical_delivery,0,0.39654704545005726,[],15,0,1,89
M000044,Merchant_44,social_seller,social_seller,Chennai,micro,physical_delivery,0,0.3381413988709042,[],113,0,1,90
M000045,Merchant_45,social_seller,social_seller,Hyderabad,micro,physical_delivery,0,0.3346978802113908,[],36,1,1,90
M000046,Merchant_46,social_seller,social_seller,Hyderabad,micro,physical_delivery,0,0.3441344804943076,[],56,1,1,89
M000047,Merchant_47,social_seller,social_seller,Mumbai,micro,physical_delivery,0,0.40525838483887155,[],109,1,1,89
M000048,Merchant_48,social_seller,social_seller,Bangalore,micro,physical_delivery,0,0.3508072287078099,[],18,0,1,89
M000049,Merchant_49,social_seller,social_seller,Delhi,micro,physical_delivery,0,0.29624675676780166,[],81,0,1,89
M000050,Merchant_50,social_seller,social_seller,Bangalore,micro,physical_delivery,0,0.39372949838353144,[],18,0,1,89
M000051,Merchant_51,social_seller,social_seller,Delhi,micro,physical_delivery,0,0.28604279817897615,[],10,0,1,91
M000052,Merchant_52,social_seller,social_seller,Bangalore,micro,physical_delivery,0,0.31418445677248774,[],101,0,1,89
M000053,Merchant_53,social_seller,social_seller,Delhi,micro,physical_delivery,0,0.30342777856454306,[],115,1,1,90
M000054,Merchant_54,social_seller,social_seller,Pune,micro,physical_delivery,0,0.3430114258463429,[],35,0,1,90
M000055,Merchant_55,social_seller,social_seller,Chennai,micro,physical_delivery,0,0.2729215635164036,[],11,0,1,90
M000056,Merchant_56,social_seller,social_seller,Delhi,micro,physical_delivery,0,0.43847511281116747,[],108,0,1,89
M000057,Merchant_57,social_seller,social_seller,Delhi,micro,physical_delivery,0,0.418158498175705,[],108,0,1,90
M000058,Merchant_58,social_seller,social_seller,Mumbai,micro,physical_delivery,0,0.3031858103661586,[],94,0,1,89
M000059,Merchant_59,social_seller,social_seller,Pune,micro,physical_delivery,0,0.31473154577474205,[],16,0,1,90
M000060,Merchant_60,social_seller,social_seller,Mumbai,micro,physical_delivery,0,0.29249210318457297,[],113,1,1,89
M000061,Merchant_61,social_seller,social_seller,Mumbai,micro,physical_delivery,0,0.2645515864822972,[],101,1,1,90
M000062,Merchant_62,social_seller,social_seller,Bangalore,micro,physical_delivery,0,0.27585366163154784,[],74,0,1,90
M000063,Merchant_63,social_seller,social_seller,Delhi,micro,physical_delivery,0,0.27928693314291464,[],41,0,1,90
M000064,Merchant_64,social_seller,social_seller,Chennai,micro,physical_delivery,0,0.43436528521219353,[],63,1,1,90
M000065,Merchant_65,social_seller,social_seller,Delhi,micro,physical_delivery,0,0.24278725754164032,[],32,1,1,91
M000066,Merchant_66,social_seller,social_seller,Pune,micro,physical_delivery,0,0.3755317347225715,[],20,0,1,89
M000067,Merchant_67,social_seller,social_seller,Hyderabad,micro,physical_delivery,0,0.37885248712857733,[],72,1,1,90
M000068,Merchant_68,social_seller,social_seller,Mumbai,micro,physical_delivery,0,0.40082490523645253,[],88,0,1,90
M000069,Merchant_69,social_seller,social_seller,Chennai,micro,physical_delivery,0,0.26621155031146265,[],20,0,1,89
M000070,Merchant_70,social_seller,social_seller,Pune,micro,physical_delivery,0,0.3195156387649881,[],40,0,1,89
M000071,Merchant_71,social_seller,social_seller,Bangalore,micro,physical_delivery,0,0.3725728425527165,[],115,1,1,90
M000072,Merchant_72,social_seller,social_seller,Chennai,micro,physical_delivery,0,0.42496168586240546,[],8,0,1,90
M000073,Merchant_73,social_seller,social_seller,Hyderabad,micro,physical_delivery,0,0.3667950223362171,[],18,1,1,89
