dispute_id,transaction_id,merchant_id,customer_id,network,reason_code,reason_description,dispute_created_at,dispute_amount,contest_fee,operational_review_cost,respond_by,days_to_deadline,merchant_action,dispute_outcome,resolution_date,n_available,n_required,req_met,req_miss,avg_quality,n_applicable,n_unavailable,evidence_completeness,amount,payment_method,customer_previous_orders,customer_previous_spend,customer_previous_disputes,days_since_customer_last_purchase,ip_risk_score,otp_3ds_status,avs_match,payment_attempt_count,is_international,billing_shipping_mismatch,delivery_status,has_signed_proof,archetype,industry,business_size,fulfillment_type,subscription_supported,documentation_maturity,fulfillment_tracking_available,refund_policy_documented,merchant_age_months,response_window_days,dispute_lag_days,won
DSP000001,TXN0000139,M000001,,Mastercard,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-11-01,849,613,255,2025-11-09,8,contested,lost,2025-11-25,1,4,1,3,0.09166666666666667,1,5,0.25,849,debit_card,0,0.0,0,,0.4370715274936956,passed,1,1,0,0,in_transit,0.0,social_seller,social_seller,small,physical_delivery,0,0.2,1,0,56,8.0,25.993055555555557,0
DSP000002,TXN0000390,M000001,,Mastercard,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2026-01-21,1299,509,202,2026-01-30,9,contested,lost,2026-02-05,2,3,1,2,0.20888333333333334,2,4,0.3333333333333333,1299,credit_card,0,0.0,0,,0.2538343954296167,passed,0,2,0,0,delivered,0.0,social_seller,social_seller,small,physical_delivery,0,0.2,1,0,56,9.0,62.1125,0
DSP000003,TXN0000101,M000001,CUS0000127,Mastercard,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2025-11-03,945,501,167,2025-11-23,20,contested,lost,2025-12-12,1,4,0,4,0.09166666666666667,1,5,0.0,945,debit_card,0,0.0,0,,0.5260118854843756,passed,1,1,0,1,delivered,1.0,social_seller,social_seller,small,physical_delivery,0,0.2,1,0,56,20.0,13.33125,0
DSP000004,TXN0003363,M000002,CUS0001594,Mastercard,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2025-06-26,1795,447,240,2025-07-16,20,contested,won,2025-08-04,5,4,4,0,0.7758166666666666,5,1,1.0,1795,credit_card,1,495.0,0,84.0,0.2634321952508491,failed,1,2,0,0,delivered,1.0,d2c_brand,d2c_brand,medium,physical_delivery,0,0.8394736058118728,1,0,16,20.0,57.84652777777778,1
DSP000006,TXN0002848,M000002,CUS0001456,Mastercard,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2025-12-14,1595,458,206,2025-12-21,7,contested,lost,2026-01-24,4,4,2,2,0.6259166666666667,4,2,0.5,1595,credit_card,3,6993.0,0,110.0,0.1406583105409381,failed,1,3,0,0,delivered,0.0,d2c_brand,d2c_brand,medium,physical_delivery,0,0.8394736058118728,1,0,16,7.0,35.236111111111114,0
DSP000007,TXN0003893,M000002,CUS0000480,Visa,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-11-13,5699,465,213,2025-11-24,11,contested,lost,2025-12-20,5,3,2,1,0.77895,5,1,0.6666666666666666,5699,debit_card,2,4698.0,0,32.0,0.5098146141823766,passed,1,3,0,0,delivered,1.0,d2c_brand,d2c_brand,medium,physical_delivery,0,0.8394736058118728,1,0,16,11.0,73.74791666666667,0
DSP000009,TXN0004366,M000002,CUS0000724,RuPay,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2026-01-30,1299,660,276,2026-02-13,14,contested,won,2026-03-01,6,4,4,0,0.9529,6,0,1.0,1299,debit_card,1,9199.0,0,69.0,0.078295153462179,passed,1,1,0,0,delivered,0.0,d2c_brand,d2c_brand,medium,physical_delivery,0,0.8394736058118728,1,0,16,14.0,72.68888888888888,1
DSP000010,TXN0004038,M000002,,RuPay,DUPLICATE_TRANSACTION,Duplicate Transaction,2025-11-20,429,499,186,2025-11-29,9,contested,won,2025-12-15,5,2,2,0,0.75095,5,1,1.0,429,debit_card,0,0.0,0,,0.2998356613632281,passed,0,1,0,0,delivered,1.0,d2c_brand,d2c_brand,medium,physical_delivery,0,0.8394736058118728,1,0,16,9.0,44.975,1
DSP000011,TXN0004164,M000002,,Visa,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-12-17,1549,671,189,2025-12-27,10,contested,lost,2026-01-17,3,3,1,2,0.41075,3,3,0.3333333333333333,1549,debit_card,0,0.0,0,,0.2295724145127395,passed,1,1,0,0,delivered,1.0,d2c_brand,d2c_brand,medium,physical_delivery,0,0.8394736058118728,1,0,16,10.0,63.78125,0
DSP000012,TXN0002257,M000002,CUS0000309,Visa,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2025-12-25,1549,534,251,2026-01-10,16,contested,won,2026-02-04,6,4,4,0,0.89975,6,0,1.0,1549,credit_card,0,0.0,0,,0.0746150372188143,passed,1,2,0,0,delivered,1.0,d2c_brand,d2c_brand,medium,physical_delivery,0,0.8394736058118728,1,0,16,16.0,15.110416666666667,1
